id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1tkipCYkIgti8f1tqjfcWe,0.841,0.732,7.0,-5.186,0.19,0.0115,2.18e-05,0.136,0.576,149.012
4R67rQNSbbsR4TdUVOIdez,0.839,0.506,5.0,-6.714,0.133,0.00207,0.0,0.13,0.44,154.12
1z7LV5wkExwW8YJk0IrPUA,0.826,0.616,2.0,-5.479,0.328,0.241,0.0,0.287,0.612,127.925
0v36cov6Z6aEV5ZgIlqZMk,0.685,0.729,7.0,-8.694,0.15,0.415,0.0,0.196,0.382,170.025
1NE8EEo8xpxTLAYHJbmsrY,0.924,0.681,11.0,-6.94,0.294,0.011,1.21e-06,0.0972,0.491,141.982
4KDNRh9Oor80z3XIxdWlui,0.91,0.585,11.0,-7.572,0.257,0.0536,0.0,0.127,0.599,129.011
5qyZ6LcHvBiIHLaoED8K4g,0.773,0.623,2.0,-5.267,0.196,0.00194,0.0,0.133,0.13,153.1
2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5.0,-9.579,0.324,0.0635,0.0,0.0834,0.153,145.887
7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,1.0,-5.453,0.329,0.00575,0.0,0.231,0.144,134.14
25GyyK9CyZRiDCsPY51fIT,0.545,0.82,8.0,-4.489,0.275,0.0951,0.0,0.29,0.357,141.908
40iJIUlhi6renaREYGeIDS,0.666,0.465,1.0,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937
52nTQQahs46s1iHFQ3Wv5Q,0.723,0.516,11.0,-10.707,0.485,0.00311,1.26e-06,0.115,0.223,155.967
4c7LkE1lSNj3RR4cZo0jEi,0.772,0.563,11.0,-8.188,0.452,0.0107,0.0,0.304,0.521,160.064
0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,1.0,-6.466,0.168,0.00904,9.48e-05,0.258,0.212,118.029
02rdXe0KhMe8p6ZHzYtuw0,0.649,0.347,1.0,-7.67,0.404,0.485,3.24e-05,0.154,0.176,169.994
6fSRCnfSfTBCbgoa6Nwhim,0.889,0.594,10.0,-6.593,0.104,0.563,0.0,0.175,0.758,119.984
29TPjc8wxfz4XMn21O7VsZ,0.785,0.903,2.0,-4.184,0.21,0.258,0.0,0.169,0.565,139.98
62l3NSQPUxvcwwzKUmysrE,0.882,0.662,0.0,-6.382,0.242,0.0124,0.0,0.106,0.57,120.034
0LlFMKD7MAHwOqkIBsHui6,0.736,0.532,1.0,-7.151,0.265,0.0292,8.86e-06,0.0806,0.273,84.983
42Q71LGgYI4eBdebWn5m6D,0.824,0.484,1.0,-5.618,0.07,0.0361,0.0,0.0592,0.148,77.039
4HTY26kzdGCKJF1EqcRd2J,0.559,0.532,5.0,-7.679,0.353,0.174,0.0,0.136,0.529,85.843
0lihymBRdQmqdUFDTMyLRU,0.798,0.482,6.0,-9.045,0.43,0.282,2.06e-06,0.127,0.45,95.263
6wS2qpDF5iX9jlfOJN4OPg,0.794,0.741,1.0,-5.511,0.413,0.241,0.0,0.104,0.647,139.957
25r6MZ4Gtd76l43qnZI1DG,0.8,0.541,10.0,-5.05,0.0375,0.0252,0.0,0.146,0.194,135.99
4dZTNKRngStyYNueXCO2FR,0.465,0.729,3.0,-6.93,0.237,0.0072,0.0,0.139,0.606,95.001
7qM1BWAsZMTYh4BcYLb0uQ,0.74,0.501,1.0,-6.339,0.0592,0.019,0.0,0.114,0.119,83.5
416XBAqBQECEjtMS8dlPQM,0.891,0.636,10.0,-7.72,0.251,0.208,0.0,0.126,0.43,91.502
6og219WwSl2pU7oXyXfRMe,0.877,0.617,11.0,-6.2,0.303,0.0378,0.0,0.263,0.484,136.01
0X5lj4BaAPT5TZPp9Qd5DB,0.57,0.665,5.0,-7.81,0.291,0.0662,0.0,0.0584,0.48,118.927
14246VCxRDGZHqlMlqWSz4,0.603,0.935,8.0,-4.103,0.29,0.0342,0.0,0.0549,0.752,87.097
2t6q9bGHggJNAyNdFqDOpA,0.928,0.361,9.0,-8.662,0.292,0.0854,0.0,0.121,0.309,134.108
4HyVMzg0sUQsdOxRvSO8Ka,0.953,0.621,11.0,-7.565,0.154,0.00799,4.87e-06,0.307,0.378,132.063
1LJYn86ysceH708AIkw0VZ,0.975,0.482,9.0,-7.94,0.246,0.00716,0.0,0.0596,0.737,125.953
6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,11.0,-3.838,0.114,0.0514,0.0,0.349,0.813,106.017
5bjTLWk5cBOACEVPl3oqkU,0.824,0.782,1.0,-5.304,0.0516,0.00089,2.64e-05,0.0949,0.381,95.012
2Tq63TjpS5euE9jT1GWleN,0.57,0.819,10.0,-5.027,0.362,0.451,0.0,0.0939,0.83,119.124
6F7UOC6fPWOkPqybOWBHSv,0.575,0.644,6.0,-5.68,0.0309,0.271,0.0,0.131,0.626,80.07
1fff5nZGyRJtFLkOrSSwOU,0.464,0.755,4.0,-5.707,0.0354,0.00838,0.0,0.0989,0.449,155.973
6VVqPBFZIbcmv14zNfOc13,0.79,0.325,4.0,-11.689,0.127,0.509,0.0,0.155,0.539,126.877
50fXFVykkwS6Om9eqjTK44,0.559,0.66,7.0,-4.143,0.0512,0.222,0.0,0.193,0.574,163.957
